icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,squawk,spi,position_source
ae1fa5,72150,United States,1755106637,1755106642,-115.2018,36.2164,655.32,False,0,0,1.3,640.08,,False,0
39de4e,TVF55WA,France,1755106737,1755106737,13.9105,40.7263,1463.04,False,120.56,153.65,-6.83,1653.54,1000,False,0
80162d,AXB1209,India,1755106738,1755106738,73.2433,18.4777,4610.1,False,182.79,336.97,-6.83,4777.74,,False,0
39de4c,TVF13CE,France,1755106737,1755106738,11.0725,51.8972,11582.4,False,201.84,246.57,0,12146.28,1000,False,0
a77ec5,EJA582,United States,1755106737,1755106737,-110.568,37.52,13106.4,False,218.33,281.42,0,13716,3552,False,0
488284,SPAWE,Poland,1755106700,1755106700,20.8939,52.271,83.82,False,32.59,101.84,-4.55,175.26,,False,0
ab6fdd,AAL3115,United States,1755106521,1755106521,-122.3787,37.6177,,True,8.23,171.56,,,5604,False,0
a3b87f,DAL1408,United States,1755106738,1755106738,-86.7151,33.5879,8976.36,False,220.09,261.4,3.25,9540.24,2563,False,0
a73857,N5641X,United States,1755106738,1755106738,-96.1627,45.0458,5753.1,False,129.67,15.41,-0.33,5989.32,,False,0
39de51,TVF8965,France,1755106738,1755106738,9.744,38.723,11582.4,False,229.1,352,0,12192,,False,0
80162e,AIC2979,India,1755106738,1755106738,73.7064,18.6866,2811.78,False,148.08,293.98,13.66,2827.02,,False,0
aaf633,UAL2098,United States,1755106728,1755106728,-77.4385,38.9495,,True,0,0,,,,False,0
a3ebe2,N3517S,United States,1755106692,1755106692,-105.1169,39.9072,1645.92,False,5.87,37.87,0,1699.26,3301,False,0
00b22b,SAA578,South Africa,1755106734,1755106738,28.3826,-26.5773,3688.08,False,188.17,283.28,-5.2,3939.54,,False,0
a3a578,VJA334,United States,1755106738,1755106738,-96.7232,45.5293,13106.4,False,206.14,275.3,0.33,13555.98,,False,0
a5954e,UAL1292,United States,1755106719,1755106736,-81.7557,37.983,9669.78,False,218.4,247.42,-4.55,10233.66,6224,False,0
a23565,TRF50,United States,1755106737,1755106737,-94.4383,32.7582,2735.58,False,73.92,128.78,0,2872.74,,False,0
aa9300,UAL3875,United States,1755106570,1755106585,-10.6039,55.9036,11582.4,False,248.58,274.03,0,11887.2,2102,False,0
a84528,N63199,United States,1755106737,1755106737,-81.2259,33.3633,853.44,False,38.89,307.48,1.3,891.54,,False,0
4aa8b0,SEJEP,Sweden,1755106733,1755106736,13.0135,55.8977,266.7,False,56.23,355.8,0.65,373.38,,False,0
a52bcf,GRY32,United States,1755106539,1755106539,-73.7931,43.1145,678.18,False,43.55,218.77,-3.58,662.94,,False,0
abacb6,SCX393,United States,1755106715,1755106715,-114.2001,38.915,10972.8,False,224.89,252.97,0,11567.16,3503,False,0
a22233,CXK312,United States,1755106737,1755106738,-122.3008,40.3784,2255.52,False,46.61,349.19,2.28,2339.34,,False,0
a4d881,N411GV,United States,1755106738,1755106738,-92.2547,43.0329,3474.72,False,90.7,101.12,0,3604.26,,False,0
801621,IGO54H,India,1755106469,1755106469,72.8723,19.0905,,True,5.14,75.94,,,,False,0
a2cbb5,N28AU,United States,1755106613,1755106613,-86.194,42.1259,906.78,False,47.04,264.35,0,899.16,,False,0
80160f,IGO245C,India,1755106736,1755106736,77.288,28.5659,1005.84,False,94.18,271.57,-2.6,937.26,,False,0
a6186d,N492KF,United States,1755106737,1755106737,-149.9274,61.7008,685.8,False,60.31,188.34,1.63,678.18,,False,0
aaf656,VXP49,United States,1755106738,1755106738,-111.6668,34.4663,5692.14,False,201.69,181.02,-11.38,6065.52,,False,0
a5e550,N4793F,United States,1755106701,1755106709,-123.4939,48.118,91.44,False,17.1,285.71,0,68.58,,False,0
adffa4,SR42,United States,1755106732,1755106732,-87.9491,34.4592,4861.56,False,269.63,194.25,13.33,5105.4,,False,0
ad5623,AAL2460,United States,1755106730,1755106731,-87.7666,31.6948,8686.8,False,250.43,310.17,4.55,9250.68,,False,0
80161a,IGO1205,India,1755106633,1755106634,53.1752,25.4014,11590.02,False,251.84,304.18,0,12435.84,4057,False,0
ad5628,DAL3040,United States,1755106737,1755106738,-84.3828,33.6496,411.48,False,76.14,270,-3.58,426.72,1202,False,0
489577,SPFLY,Poland,1755106738,1755106738,20.2655,52.3461,883.92,False,60.94,348.31,0,1013.46,,False,0
acdfab,DAL2864,United States,1755106738,1755106738,-77.4455,39.0498,9753.6,False,223.44,219.11,0,10317.48,0572,False,0
a0e250,AAL2033,United States,1755106738,1755106738,-79.6774,35.4233,6819.9,False,211.85,70.42,3.58,7223.76,,False,0
407a05,EZY39JX,United Kingdom,1755106738,1755106738,21.5069,41.755,11292.84,False,232.92,136.79,0.33,12016.74,,False,0
a1158a,N1690W,United States,1755106420,1755106423,-122.2131,37.7306,,True,0.06,303.75,,,1076,False,0
